Sample,Group,Feed,logFeed,Day,Ct,logCopies,Copies
0_7_8,MED,5.94E+07,7.77,0,36.84,2.202834406,159.5270764
0_8_6,MED,5.94E+07,7.77,0,38.01,1.865029201,73.28738086
0_9_4,MED,5.94E+07,7.77,0,37.28,2.074120028,118.6096511
0_7_7,MED,5.94E+07,7.77,0,41.73,0.792292699,6.198586963
0_8_5,MED,5.94E+07,7.77,0,36.79,2.216589728,164.6606132
0_9_3,MED,5.94E+07,7.77,0,37.24,2.087186852,122.2325442
0_7_6,MED,5.94E+07,7.77,0,39.32,1.48587684,30.61095223
0_8_4,MED,5.94E+07,7.77,0,36.03,2.436079226,272.9475663
0_9_2,MED,5.94E+07,7.77,0,36.24,2.375617549,237.4748098
0_9_10,MED,5.94E+07,7.77,0,38.12,1.833098142,68.09232162
0_7_5,MED,5.94E+07,7.77,0,37.66,1.964645684,92.18190611
0_8_3,MED,5.94E+07,7.77,0,38.01,1.865063995,73.29325255
0_9_1,MED,5.94E+07,7.77,0,36.87,2.193881206,156.2720128
0_9_9,MED,5.94E+07,7.77,0,36.76,2.224808035,167.8062126
0_7_4,MED,5.94E+07,7.77,0,37.64,1.971922033,93.73937063
0_8_2,MED,5.94E+07,7.77,0,38.44,1.740332872,54.99622403
0_8_10,MED,5.94E+07,7.77,0,37.25,2.084237995,121.4053976
0_9_8,MED,5.94E+07,7.77,0,37.03,2.146817109,140.2223072
0_7_3,MED,5.94E+07,7.77,0,36.38,2.334806372,216.1754501
0_8_1,MED,5.94E+07,7.77,0,40.94,1.020495843,10.48324758
0_8_9,MED,5.94E+07,7.77,0,37.37,2.048647403,111.8529398
0_9_7,MED,5.94E+07,7.77,0,36.89,2.187112943,153.8554706
0_7_2,MED,5.94E+07,7.77,0,39.34,1.482394015,30.3664494
0_7_10,MED,5.94E+07,7.77,0,40.16,1.243575531,17.5216714
0_8_8,MED,5.94E+07,7.77,0,39.16,1.532898562,34.11132285
0_9_6,MED,5.94E+07,7.77,0,36.83,2.203279053,159.69049
0_7_1,MED,5.94E+07,7.77,0,39.62,1.399045039,25.06369168
0_7_9,MED,5.94E+07,7.77,0,37.02,2.149966643,141.2429054
0_8_7,MED,5.94E+07,7.77,0,36.89,2.185854933,153.4104463
0_9_5,MED,5.94E+07,7.77,0,37.19,2.101183339,126.2360333
0_10_8,HIGH,1.24E+09,9.09,0,31.34,3.785043684,6095.98211
0_11_6,HIGH,1.24E+09,9.09,0,32.97,3.317235133,2076.037211
0_12_4,HIGH,1.24E+09,9.09,0,31.35,3.781672709,6048.848521
