Sample,Group,Feed,logFeed,Day,Ct,logCopies,Copies
D0 F7-9 A,MED,59400000,7.77,0,39.20874177,1.171333761,14.83657858
D0 F7-9 B,MED,59400000,7.77,0,37.4925525,1.694771488,49.51895692
D0 F7-9 C,MED,59400000,7.77,0,38.17018746,1.488092824,30.76754355
D0 F10-12 A,HIGH,1240000000,9.09,0,34.46373867,2.618559705,415.489167
D0 F10-12 B,HIGH,1240000000,9.09,0,33.87985305,2.79664482,626.1016092
D0 F10-12 C,HIGH,1240000000,9.09,0,34.39040838,2.640925444,437.4470015
D3 F7-9 A,MED,59400000,7.77,3,36.934053,1.865113834,73.30166408
D3 F7-9 B,MED,59400000,7.77,3,36.51085512,1.99418919,98.67092283
D3 F7-9 C,MED,59400000,7.77,3,36.83520852,1.895261401,78.57084087
D3 F10-12 A,HIGH,1240000000,9.09,3,32.03103026,3.360535771,2293.695545
D3 F10-12 B,HIGH,1240000000,9.09,3,31.2763528,3.590712396,3896.838398
D3 F10-12 C,HIGH,1240000000,9.09,3,31.8834563,3.405545827,2544.168241
D5 F7-9 A,MED,59400000,7.77,5,35.50235488,2.301781761,200.3465005
D5 F7-9 B,MED,59400000,7.77,5,34.7027761,2.54565329,351.2798915
D5 F7-9 C,MED,59400000,7.77,5,36.09038545,2.122432438,132.5660872
D5 F10-12 A,HIGH,1240000000,9.09,5,35.25653014,2.376758309,238.0994044
D5 F10-12 B,HIGH,1240000000,9.09,5,35.7228504,2.234530627,171.6052724
D5 F10-12 C,HIGH,1240000000,9.09,5,35.98489382,2.154607385,142.760278
D7 F7-9 A,MED,59400000,7.77,7,37.87097587,1.579352361,37.96228637
D7 F7-9 B,MED,59400000,7.77,7,37.19408926,1.785802777,61.06646452
D7 F7-9 C,MED,59400000,7.77,7,37.52421744,1.685113681,48.42991212
D7 F10-12 B,HIGH,1240000000,9.09,7,38.0971784,1.510360589,32.38624441
D13 F10-12 C,HIGH,1240000000,9.09,13,39.78987452,0.994088272,9.86479971
D13 F7-9 A,MED,59400000,7.77,13,37.2111335,1.780604282,60.33985775
D13 F7-9 B,MED,59400000,7.77,13,36.79515951,1.907476351,80.81209226
D13 F7-9 C,MED,59400000,7.77,13,38.57831121,1.36361508,23.10016489
D9 F10-12 A,HIGH,1240000000,9.09,9,35.6571545,2.254567878,179.7081933
D9 F10-12 B,HIGH,1240000000,9.09,9,36.22850747,2.080305222,120.3109683
D11 F10-12 B,HIGH,1240000000,9.09,11,38.12812511,1.500921843,31.68997109
D9 F10-12 C,HIGH,1240000000,9.09,9,35.91303502,2.17652432,150.1496486
D9 F7-9 A,MED,59400000,7.77,9,36.19095074,2.091760025,123.5264683
D9 F7-9 B,MED,59400000,7.77,9,36.04190646,2.137218528,137.1571739
D9 F7-9 C,MED,59400000,7.77,9,36.19668884,2.090009904,123.0296827
D11 F4-6 A,LOW,1060000,6.03,11,39.42686018,1.104807644,12.72939151
